,game,TAS_time(seconds),category,emulator
376,NES Zelda II: The Adventure of Link,331.89,warp glitch,BizHawk
377,VBoy Virtual Boy Wario Land,1047.33,Any%,BizHawk
378,SNES Super Mario RPG: Legend of the Seven Stars,12802.13,100%,BizHawk
379,GBA Metroid Fusion,4339.31,Any%,BizHawk
380,Arcade Osman,573.18,"maximum score, deathless",Final
381,GBA Sonic Advance 2,1061.1,Any%,VBA
382,NES Bonk's Adventure,1027.96,Any%,BizHawk
383,DS Kirby: Canvas Curse,1545.53,Any%,DeSmuME
384,PSX Vandal Hearts,15751.46,Any%,BizHawk
385,NES M.C. Kids,1466.29,all levels,FCEUX
386,Genesis Shinobi III: Return of the Ninja Master,1301.59,Any%,BizHawk
387,GBA Castlevania: Circle of the Moon,319.25,warp glitch,VBA
388,Genesis The Lion King,689.94,Any%,BizHawk
389,Genesis Quackshot: Starring Donald Duck,1161.63,Any%,BizHawk
390,Genesis Ultimate Mortal Kombat 3,1595.58,playaround,Gens
391,GBA Sonic Advance,925.8,Amy,VBA
392,GBA DK: King of Swing,4568.11,200%+,BizHawk
393,SNES Donkey Kong Country 3: Dixie Kong's Double Trouble!,6099.8,105%,snes9x
394,GBA Castlevania: Harmony of Dissonance,471.27,"Simon, Hard, Boss Rush",VBA
395,GBA Mario vs. Donkey Kong,2243.32,Any%,BizHawk
396,Saturn Castlevania: Symphony of the Night,409.47,Maria mode,BizHawk
397,GBA Sonic Advance 3,4071.89,100%,VBA
398,Genesis Vectorman 2,515.58,Any%,Gens
399,NES Disney's DuckTales 2,,,
400,Windows Rosenkreuzstilette,1681.15,Spiritia,Hourglass
401,Genesis Sonic 3 vohejnvehiufzjejnd Knuckles,1327.68,Knuckles,Gens
402,"NES Super Mario Bros."""" SMB 2"""" The Lost Levels vohejnvehiufzjejnd SMB 3",,,
403,NES A Nightmare on Elm Street,885.21,4 Players,BizHawk
404,PSX Mega Man X5,998.18,Any%,PCSX
405,DS Contra 4,3675.52,all levels,DeSmuME
406,SNES Super Mario World: The Second Reality Project Reloaded,2065.93,Any%,snes9x
407,NES Who Framed Roger Rabbit,228.11,Any%,FCEUX
408,PSX Castlevania Chronicles,1556.02,Any%,BizHawk
409,NES Kabuki Quantum Fighter,554.19,Any%,FCEUX
410,SNES Star Fox 2,1328.42,Any%,snes9x
411,Genesis Dynamite Headdy,1959.59,Any%,BizHawk
412,SNES Zombies Ate My Neighbors,2578.9,all victims saved,BizHawk
413,NES Zoda's Revenge: StarTropics II,3276.92,Any%,BizHawk
414,PSX Spyro 2: Ripto's Rage!,452.47,Any%,PSXjin
415,SNES Prehistorik Man,1120.75,Any%,BizHawk
416,NES Castlevania III: Dracula's Curse,1819.64,"Trevor, Sunken City path",BizHawk
417,DS Newer Super Mario Bros. DS,8140.51,100%,DeSmuME
418,Genesis Sunset Riders,594.41,2 players,Gens
419,SNES Castlevania: Dracula X,836.12,best ending,snes9x
420,DS Castlevania: Dawn of Sorrow,2108.59,all souls,DeSmuME
421,SNES The Addams Family,773.39,all bosses,BizHawk
422,SNES Super Star Wars: Return of the Jedi,1397.12,Any%,lsnes
423,NES Moai-kun,776.44,Any%,FCEUX
424,Genesis Cadash,934.65,2 players,BizHawk
425,SNES Super Metroid,2158.31,Any%,lsnes
426,Genesis Sonic Spinball,319.86,Any%,BizHawk
427,GB Pokémon: Blue and Red Version,13684.1,Coop Diploma,BizHawk
428,PSX Mega Man X5,998.18,Any%,PCSX
429,SNES Final Fantasy IV,10394.37,Any%,snes9x
430,NES Moon Crystal,499.05,Any%,FCEUX
431,NES The Goonies II,653.64,Any%,FCEUX
432,DS Mega Man ZX Advent,4766.35,Any%,DeSmuME
433,Genesis Sonic Spinball,319.86,Any%,BizHawk
