game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher
Lethal Enforcers,Hard (Gun),Lethal Enforcers - Hard (Gun),2348.002,1992,29,0,Super Nintendo,On-rails Shooter,,Konami,Konami
Lethal Enforcers,Hard (Cntlr),Lethal Enforcers - Hard (Cntlr),2348.002,1992,29,0,Super Nintendo,On-rails Shooter,,Konami,Konami
Saiyuuki World,Any%,Saiyuuki World - Any%,810,1988,33,4,Nintendo Entertainment System,,,,
Saiyuuki World,All Bosses,Saiyuuki World - All Bosses,993,1988,33,1,Nintendo Entertainment System,,,,
Saiyuuki World,Pacifist,Saiyuuki World - Pacifist,867,1988,33,1,Nintendo Entertainment System,,,,
Tower of Doom,Novice,Tower of Doom - Novice,107,1987,34,1,GameCube,,,,
Tower of Doom,The Tower,Tower of Doom - The Tower,107,1987,34,0,GameCube,,,,
Tower of Doom,The Catacombs,Tower of Doom - The Catacombs,107,1987,34,0,GameCube,,,,
Tower of Doom,The Fortress,Tower of Doom - The Fortress,107,1987,34,0,GameCube,,,,
Tower of Doom,The Challenge,Tower of Doom - The Challenge,1304,1987,34,1,GameCube,,,,
Tower of Doom,Wizard Hunt,Tower of Doom - Wizard Hunt,1304,1987,34,0,GameCube,,,,
Tower of Doom,Grail Quest,Tower of Doom - Grail Quest,1304,1987,34,0,GameCube,,,,
Taz-Mania,Beat The Game,Taz-Mania - Beat The Game,2607,1992,29,4,Super Nintendo,,,,
Teenage Mutant Ninja Turtles III: The Manhattan Project,Any%,Teenage Mutant Ninja Turtles III: The Manhattan Project - Any%,2092,1991,30,22,Nintendo Entertainment System,Beat 'em up,,Konami,Konami
Teenage Mutant Ninja Turtles III: The Manhattan Project,Any% (2 Player),Teenage Mutant Ninja Turtles III: The Manhattan Project - Any% (2 Player),1986,1991,30,8,Nintendo Entertainment System,Beat 'em up,,Konami,Konami
Shaman King : Master of Spirits,Any%,Shaman King : Master of Spirits - Any%,7199,2004,17,1,,,,,
Alien 3 (GB),Any%,Alien 3 (GB) - Any%,914,1993,28,3,Super Game Boy,Top-down adventure,,Bits Studios,LJN
The Adventures of Tom Sawyer,Any% (NTSC-U),The Adventures of Tom Sawyer - Any% (NTSC-U),625,1989,32,11,Nintendo Entertainment System,,,,
The Adventures of Tom Sawyer,Any% (NTSC-J),The Adventures of Tom Sawyer - Any% (NTSC-J),658,1989,32,1,Nintendo Entertainment System,,,,
Golden Sun,Any% No S&Q,Golden Sun - Any% No S&Q,12839.916,2001,20,25,Game Boy Advance,RPG,,Camelot Software Planning,
Golden Sun,All Bronze Transferables No S&Q,Golden Sun - All Bronze Transferables No S&Q,16782,2001,20,3,Game Boy Advance,RPG,,Camelot Software Planning,
Golden Sun,Any% (No Intro),Golden Sun - Any% (No Intro),1650.63,2001,20,1,Game Boy Advance,RPG,,Camelot Software Planning,
Golden Sun,Fusion Dragon Any%,Golden Sun - Fusion Dragon Any%,10562,2001,20,5,Game Boy Advance,RPG,,Camelot Software Planning,
Golden Sun,All Djinn,Golden Sun - All Djinn,14132,2001,20,6,Game Boy Advance,RPG,,Camelot Software Planning,
Mega Man 2 (Tiger),Any%,Mega Man 2 (Tiger) - Any%,214,1990,31,1,Tiger,,,,
Zombies Ate My Neighbors,Any%,Zombies Ate My Neighbors - Any%,1894,1993,28,18,Super Nintendo,Shoot 'em up,,LucasArts,Konami
Zombies Ate My Neighbors,100%,Zombies Ate My Neighbors - 100%,4700,1993,28,2,Super Nintendo,Shoot 'em up,,LucasArts,Konami
Contra,Any%,Contra - Any%,588.65,1988,33,252,Nintendo Entertainment System,,,Konami,Konami
Contra,Low%,Contra - Low%,672,1988,33,23,Nintendo Entertainment System,,,Konami,Konami
Contra,Any% (Japanese Version),Contra - Any% (Japanese Version),569,1988,33,24,Nintendo Entertainment System,,,Konami,Konami
Contra,Low% (Japanese Version),Contra - Low% (Japanese Version),648,1988,33,5,Nintendo Entertainment System,,,Konami,Konami
Contra,Any% (2 Player),Contra - Any% (2 Player),591,1988,33,14,Nintendo Entertainment System,,,Konami,Konami
Contra,Low% (2 Player),Contra - Low% (2 Player),617,1988,33,3,Nintendo Entertainment System,,,Konami,Konami
Contra,Pacifist,Contra - Pacifist,1040,1988,33,1,Nintendo Entertainment System,,,Konami,Konami
Bio Hazard,Any%,Bio Hazard - Any%,1076,2003,18,1,Nintendo Entertainment System,Horror,,Waixing,Waixing
Demon's Crest,100%,Demon's Crest - 100%,2301,1994,27,38,Super Nintendo,side-scrolling Platformer,,Capcom,Capcom
Demon's Crest,Any%,Demon's Crest - Any%,628,1994,27,58,Super Nintendo,side-scrolling Platformer,,Capcom,Capcom
Treasure Master,Any% Prize World,Treasure Master - Any% Prize World,1212,1991,30,5,Nintendo Entertainment System,Platformer,,Software Creations,ASC Games
Treasure Master,No Underflow Glitch,Treasure Master - No Underflow Glitch,1291,1991,30,2,Nintendo Entertainment System,Platformer,,Software Creations,ASC Games
Gex 3: Deep Cover Gecko,No Wrong Warp,Gex 3: Deep Cover Gecko - No Wrong Warp,2294,1999,22,11,Nintendo 64,Platformer,,Crystal Dynamics,Crave Entertainment
Gex 3: Deep Cover Gecko,Any%,Gex 3: Deep Cover Gecko - Any%,891,1999,22,5,Nintendo 64,Platformer,,Crystal Dynamics,Crave Entertainment
Gex 3: Deep Cover Gecko,100%,Gex 3: Deep Cover Gecko - 100%,7544,1999,22,3,Nintendo 64,Platformer,,Crystal Dynamics,Crave Entertainment
Blaster Master,Any% (JP),Blaster Master - Any% (JP),1525,1988,33,29,Nintendo Entertainment System,Platformer,,Tokai Engineering,Sunsoft
Blaster Master,Any% No Reset Warps (JP),Blaster Master - Any% No Reset Warps (JP),1651,1988,33,23,Nintendo Entertainment System,Platformer,,Tokai Engineering,Sunsoft
Blaster Master,Any% (US),Blaster Master - Any% (US),1800,1988,33,19,Nintendo Entertainment System,Platformer,,Tokai Engineering,Sunsoft
Blaster Master,"Any%, Warpless (JP)","Blaster Master - Any%, Warpless (JP)",2003,1988,33,6,Nintendo Entertainment System,Platformer,,Tokai Engineering,Sunsoft
Blaster Master,"Any%, Warpless (US)","Blaster Master - Any%, Warpless (US)",2234,1988,33,10,Nintendo Entertainment System,Platformer,,Tokai Engineering,Sunsoft
Blaster Master,Any% (PAL),Blaster Master - Any% (PAL),294,1988,33,2,Nintendo Entertainment System,Platformer,,Tokai Engineering,Sunsoft
Flywrench,Any% (Normal Mode),Flywrench - Any% (Normal Mode),650.89,2015,6,12,PlayStation 4,,,,
Flywrench,Any% (Helmet Mode),Flywrench - Any% (Helmet Mode),637.65,2015,6,4,PlayStation 4,,,,
Over The Hedge,Any%,Over The Hedge - Any%,6567,2006,15,12,GameCube,Beat 'em up,Torque,Edge of Reality,Activision
Over The Hedge,Any% Co-op,Over The Hedge - Any% Co-op,7113,2006,15,5,GameCube,Beat 'em up,Torque,Edge of Reality,Activision
Over The Hedge,Cheat%,Over The Hedge - Cheat%,161,2006,15,9,GameCube,Beat 'em up,Torque,Edge of Reality,Activision
Star Wars Episode I: Racer,Any%,Star Wars Episode I: Racer - Any%,1917,1999,22,23,Nintendo 64,Racing,,LucasArts,LucasArts
Star Wars Episode I: Racer,Semi-Pro Circuit,Star Wars Episode I: Racer - Semi-Pro Circuit,1841.89,1999,22,20,Nintendo 64,Racing,,LucasArts,LucasArts
